I,deltaT,T_in,pressure_ratio,Qc,Ptec,Qh,T_sat,m_dot_required,COP
7.0,14.285714285714286,20,1.4,0.6551428571428571,0.7637142857142858,1.418857142857143,109.68224258275194,3.7794881431581646e-06,0.8578376356154133
7.0,14.285714285714286,20,1.5,0.6551428571428571,0.7637142857142858,1.418857142857143,111.74486049387446,3.69451728051814e-06,0.8578376356154133
7.0,14.285714285714286,30,1.1,0.6551428571428571,0.7637142857142858,1.418857142857143,102.66664677456191,4.664491724035365e-06,0.8578376356154133
7.0,14.285714285714286,30,1.2,0.6551428571428571,0.7637142857142858,1.418857142857143,105.16374456813821,4.5095274914899176e-06,0.8578376356154133
7.0,14.285714285714286,30,1.3,0.6551428571428571,0.7637142857142858,1.418857142857143,107.49465184921638,4.373888576889872e-06,0.8578376356154133
7.0,14.285714285714286,30,1.4,0.6551428571428571,0.7637142857142858,1.418857142857143,109.68224258275194,4.253808144786266e-06,0.8578376356154133
7.0,14.285714285714286,30,1.5,0.6551428571428571,0.7637142857142858,1.418857142857143,111.74486049387446,4.146474413749164e-06,0.8578376356154133
7.0,14.285714285714286,40,1.1,0.6551428571428571,0.7637142857142858,1.418857142857143,102.66664677456191,5.4088257460575565e-06,0.8578376356154133
7.0,14.285714285714286,40,1.2,0.6551428571428571,0.7637142857142858,1.418857142857143,105.16374456813821,5.201557625942143e-06,0.8578376356154133
7.0,14.285714285714286,40,1.3,0.6551428571428571,0.7637142857142858,1.418857142857143,107.49465184921638,5.021923414770239e-06,0.8578376356154133
7.0,14.285714285714286,40,1.4,0.6551428571428571,0.7637142857142858,1.418857142857143,109.68224258275194,4.864266130511195e-06,0.8578376356154133
7.0,14.285714285714286,40,1.5,0.6551428571428571,0.7637142857142858,1.418857142857143,111.74486049387446,4.724421654179464e-06,0.8578376356154133
7.0,17.142857142857142,20,1.1,0.6285714285714286,0.7688571428571429,1.3974285714285715,102.66664677456191,4.038313891039375e-06,0.8175399479747305
7.0,17.142857142857142,20,1.2,0.6285714285714286,0.7688571428571429,1.3974285714285715,105.16374456813821,3.9199059375349955e-06,0.8175399479747305
7.0,17.142857142857142,20,1.3,0.6285714285714286,0.7688571428571429,1.3974285714285715,107.49465184921638,3.815477414215787e-06,0.8175399479747305
7.0,17.142857142857142,20,1.4,0.6285714285714286,0.7688571428571429,1.3974285714285715,109.68224258275194,3.7224076738192875e-06,0.8175399479747305
7.0,17.142857142857142,20,1.5,0.6285714285714286,0.7688571428571429,1.3974285714285715,111.74486049387446,3.6387201004861504e-06,0.8175399479747305
7.0,17.142857142857142,30,1.1,0.6285714285714286,0.7688571428571429,1.3974285714285715,102.66664677456191,4.594045312576917e-06,0.8175399479747305
7.0,17.142857142857142,30,1.2,0.6285714285714286,0.7688571428571429,1.3974285714285715,105.16374456813821,4.441421458090452e-06,0.8175399479747305
7.0,17.142857142857142,30,1.3,0.6285714285714286,0.7688571428571429,1.3974285714285715,107.49465184921638,4.307831057101967e-06,0.8175399479747305
7.0,17.142857142857142,30,1.4,0.6285714285714286,0.7688571428571429,1.3974285714285715,109.68224258275194,4.189564163542011e-06,0.8175399479747305
7.0,17.142857142857142,30,1.5,0.6285714285714286,0.7688571428571429,1.3974285714285715,111.74486049387446,4.08385146146741e-06,0.8175399479747305
7.0,17.142857142857142,40,1.1,0.6285714285714286,0.7688571428571429,1.3974285714285715,102.66664677456191,5.327137882393779e-06,0.8175399479747305
7.0,17.142857142857142,40,1.2,0.6285714285714286,0.7688571428571429,1.3974285714285715,105.16374456813821,5.123000070173786e-06,0.8175399479747305
